Subject	Grade	Lecture	Presentation	Score
1	5th	Physical	Computer	29
2	5th	Physical	Computer	31
3	5th	Physical	Computer	22
4	5th	Physical	Computer	24
5	5th	Physical	Computer	33
6	5th	Physical	Computer	16
7	5th	Physical	Standard	31
8	5th	Physical	Standard	35
9	5th	Physical	Standard	22
10	5th	Physical	Standard	16
11	5th	Physical	Standard	19
12	5th	Physical	Standard	14
13	5th	Social	Computer	29
14	5th	Social	Computer	22
15	5th	Social	Computer	19
16	5th	Social	Computer	19
17	5th	Social	Computer	25
18	5th	Social	Computer	16
19	5th	Social	Standard	21
20	5th	Social	Standard	19
21	5th	Social	Standard	16
22	5th	Social	Standard	18
23	5th	Social	Standard	19
24	5th	Social	Standard	15
25	5th	History	Computer	24
26	5th	History	Computer	23
27	5th	History	Computer	21
28	5th	History	Computer	20
29	5th	History	Computer	14
30	5th	History	Computer	21
31	5th	History	Standard	26
32	5th	History	Standard	21
33	5th	History	Standard	16
34	5th	History	Standard	21
35	5th	History	Standard	17
36	5th	History	Standard	7
37	8th	Physical	Computer	52
38	8th	Physical	Computer	50
39	8th	Physical	Computer	46
40	8th	Physical	Computer	43
41	8th	Physical	Computer	51
42	8th	Physical	Computer	33
43	8th	Physical	Standard	44
44	8th	Physical	Standard	49
45	8th	Physical	Standard	34
46	8th	Physical	Standard	19
47	8th	Physical	Standard	32
48	8th	Physical	Standard	27
49	8th	Social	Computer	46
50	8th	Social	Computer	43
51	8th	Social	Computer	39
52	8th	Social	Computer	37
53	8th	Social	Computer	43
54	8th	Social	Computer	34
55	8th	Social	Standard	12
56	8th	Social	Standard	17
57	8th	Social	Standard	16
58	8th	Social	Standard	10
59	8th	Social	Standard	12
60	8th	Social	Standard	7
61	8th	History	Computer	44
62	8th	History	Computer	42
63	8th	History	Computer	39
64	8th	History	Computer	35
65	8th	History	Computer	35
66	8th	History	Computer	33
67	8th	History	Standard	44
68	8th	History	Standard	42
69	8th	History	Standard	27
70	8th	History	Standard	22
71	8th	History	Standard	31
72	8th	History	Standard	21
