student_ids,well_being_scores
5x6apWUn,72.73918832820969
ckIawwDJ,69.52966078349034
HnXs36E8,76.8081502636398
DPwroWMz,56.99000218888755
Bb5F4TRU,67.58505583689038
gTc6Izjv,80.7658768782874
7ZD6bfnH,63.014558098014696
1kEDs0Y6,71.84010202796203
NeAFuivY,81.45875368195603
o36lMeKR,66.43870642539659
sQc34vP5,66.19060218349235
NhkEqGYq,78.99511572381155
rh7DRiJr,60.1424654986526
xX01p77Z,81.77630670468973
Jk2vqfMx,67.9050216201598
mKXKk2qr,81.25410320846038
Oe8E1QbS,82.00781595003318
kEUbAWvx,84.58966322072892
m5bHtX4N,80.2339460189958
2h6ssYPP,73.65809701507396
FZtjU0kV,74.16177905120891
vJUZasBH,72.62847440308613
3qAI0HsL,76.4104127816388
u5GBss2C,84.77071024951478
SAikbuLX,78.18525543707369
DeVgAHXp,67.01475408575699
aZqaHobt,74.76676540806127
nE2yHFv5,72.94613370737524
qAsB3dS4,77.19893657703615
iJa54nzB,83.14511325712381
BuUBAWoY,81.31481834811474
XMCvYq2l,83.75458110878952
opuHGZ7f,75.24189843588326
6u1Ns4wV,63.66338129724389
SbZdDuyR,73.75408014927774
AxEK7qJG,68.87794365922775
toEa5uHi,69.53222909934775
NFN9dgWX,67.38972101032209
1UaFVQo2,79.79874810346277
8Viufbez,73.41277377454816
NS0yvnEs,87.20237122527215
Al6MTCCa,85.44207699560806
EJUDMyPw,75.69516918855506
7GsZfbE1,77.50777652955468
MlusqwAe,71.11441444950324
MtoDOIXO,70.79777717723502
Q6HP6GWg,80.50359371392344
Ieu0748h,61.65498218627011
nzeQ5U8s,75.36367466239986
YeTSUK24,63.602010485083426
LnAJTwE4,88.55507859461281
xvRcQiLB,82.88094944928751
9L3vZwba,75.63044644038425
g87O5KvB,84.81665457269075
iybBESeL,82.46563829077134
BuMAqL9Y,87.25316614251108
IO69vnec,72.02976577521214
W6pGPA6W,69.97664381753789
CWWLm3NF,85.69376446604497
fpjCNOtK,84.93329861541783
l3ZzjNPR,79.17336722826724
pN2a02BK,58.62035423810107
y0aw5yRT,75.26586718025246
RqGJZZBE,65.4757026985778
S2oQVDQ2,90.83082135960247
HmGJ2MA7,66.25159709977152
9VbWfr9i,65.65550961152715
yH4ehso8,79.78018064136191
ZbSSCWYm,78.8654218780764
ni3hja9u,76.7399484301289
nVbF7gOs,77.24030550118344
9JZCq7V5,76.29790603953722
pD3EI7wQ,86.50036285169848
MF8r1ONm,100.71978015251185
S7NaDdWB,72.34880493498653
Y22rKMp9,79.20475252254899
6oXgc0Cq,83.65020463913734
xhQMRiOg,83.21254082590767
Wj5wcP0t,73.45067904152086
93ELo3p6,65.96010638970914
tZqK9l0x,65.86305751408457
rSDppCdR,73.78435343172129
xmAtkpuJ,77.63855836073871
rQuBX5Iw,67.078866136661
BRxAA23f,65.71380899713716
3YnmbHT8,75.02329569631448
oIIP6ZYr,87.28908116681909
oDUwcBNg,84.89868595530272
YLO1WpR3,75.57427226203778
tVQsgAKl,92.13229785998723
CbK8H5Go,94.86683861338044
6FUgR1bW,58.91908252789108
8eBFPY22,70.97778213706755
YotqSXxS,65.25062004737875
sit2acgz,93.82100179586426
p0BNMGG0,70.50319092299505
xNWeTJyi,60.987781465488965
WDaIC1FG,67.81711899462886
6mU4ytMo,71.81132542364037
NmLCyAgq,72.48659416433821
RDZW5oK4,64.57483796305957
YahmzoH5,74.51007654865703
TkBB7YUk,82.41606269295232
b6rtcdJ8,69.10727802244669
UqNuvBe2,66.60442427162742
etbvxg8u,73.35306904470166
KGGgzj4z,70.73868347465843
ypLa9Hzn,82.02251846011553
sg3hDA6l,92.91173296927461
q2ElGBQT,76.21048773919081
dQrFp4D6,69.62801952376275
AWWLh9y8,70.12469219278736
PJEaq8vR,75.5224021779305
oHLpjVkz,87.2904836576856
VX8BKH6H,85.89704846934019
glJOCRkp,66.83926621599537
GhlJD1Xk,98.76550037934979
qlqXwmdj,81.75748628020227
VWsvLjad,76.4115087010474
BDCmVS2d,72.35293991376054
CtboP6tp,84.74847792239659
u03IWvkI,73.97544047810797
bgQKAMyA,68.63414260440868
Fty6TpIx,89.2705688599472
CCxpOGTu,65.62385873211448
0O9gqa5l,64.51432204328373
D6U018qJ,85.76568416973636
X76fEKzW,85.86205242329726
PtjtrW7M,64.81226064343764
n9tzp0fw,55.695652468680734
IJy6QEcu,78.22449153979042
4Iv4bvjl,71.42576661997002
eppFlaNp,67.55607882248894
GVxqw4Li,75.22562533375037
yEz5m7u4,76.45344041195652
OAXczO2w,58.800858731708544
P2M3Ixep,71.81022792657586
r87HWtcI,78.03305733355324
hjABxbEF,94.20434109714634
i5uqeIfA,75.85021574852941
c6X6Dqi0,81.95356531238382
pqPS3oRa,77.41624519234131
v1FJ3Q7E,72.94583561658882
hTjx8eBj,68.21527634058509
FCI0mJwq,68.83825032364537
l9fnR7UJ,69.96449907114454
DnR6VuOZ,71.45370098145503
YIk0Mshm,84.20561745090743
UTBOZa0n,66.14159891710186
vwHuAlXw,74.61496012253558
zq0DsZD8,72.74615717044719
51Ky5Zio,65.77625742882327
TPfiY0Vs,62.503292355189245
cKwnHJFO,69.50354365571219
voUZVp6W,71.69922762141697
iC8LlGhJ,70.38077304739372
RXO9ovet,74.97903676073783
FJ90cotq,71.4956264454436
OfTBDWHd,81.75134373865754
DjvuQIpO,55.430121884131765
pQIpVuR2,84.37923163838849
u57ZW6t1,63.54465002350073
heQMC1CV,66.94721608225683
UD7LdrZC,81.77942827933954
eHlQHHV9,71.7550044082391
mrDntn0R,84.66930823574114
eqOYd8yz,72.0734229957254
IRPa7fdE,86.75169182836734
RwZg7PkG,87.71263214440656
jHlK2fTP,84.43886878472215
5XLE3jaa,77.20362140020464
pS23doza,69.70132822504443
E1rYSMFA,86.64904527765204
8HXse231,74.20414279741892
TBoJGHDB,82.44523134314834
owveexKe,77.15310813084844
yGe3TfcN,70.62468777922365
J6INm46T,57.90327263885115
kHooYFX4,87.97872591697187
oJ6SXYtp,63.828107772438784
qxBxLPca,72.8500087792449
nc0gIFEY,78.29702173944655
lRSzOMcs,89.78946111250295
2PYl5glj,68.87466589770277
kTABYLtz,77.18146365166913
UYBOwy4c,84.92842667589916
sURLpGwQ,105.46710926184548
tq7MwB3e,54.401417561780754
xX8Nizqo,59.58358567366707
C7QyCN2K,60.164145942998445
GqV3fFlu,77.24584761852705
dPHx2bRY,65.502608744851
O54TZGrX,68.29714852798186
Eb0LEG9W,92.50631362878478
6Yvtct1p,86.38327049396996
nGFBZcn7,61.05936764587587
uq87scrE,78.09344624527995
7f71FmqX,75.93483643119887
ObDft6i0,77.38369848042112
